category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '51.518456', 'street': {'id': 1677599, 'name': 'On or near Percy Street'}, 'longitude': '-0.133209'}",,,,107821182,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518559', 'street': {'id': 1679408, 'name': 'On or near Fisher Street'}, 'longitude': '-0.119916'}",,,,107825686,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511574', 'street': {'id': 1678643, 'name': 'On or near Garrick Street'}, 'longitude': '-0.126271'}",,,,107819447,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512059', 'street': {'id': 1679743, 'name': 'On or near A301'}, 'longitude': '-0.118929'}",,,,107813704,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.517742', 'street': {'id': 1678770, 'name': 'On or near Little Russell Street'}, 'longitude': '-0.125614'}",,,,107827652,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511929', 'street': {'id': 1680627, 'name': ""On or near Tweezer's Alley""}, 'longitude': '-0.113646'}",,,,107827636,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.514704', 'street': {'id': 1678048, 'name': 'On or near Manette Street'}, 'longitude': '-0.130826'}",,,,107814334,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.506342', 'street': {'id': 1678767, 'name': 'On or near Great Scotland Yard'}, 'longitude': '-0.125794'}",,,,107817876,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.495900', 'street': {'id': 1680619, 'name': 'On or near A3203'}, 'longitude': '-0.113919'}",,,,107827581,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.513715', 'street': {'id': 1679596, 'name': 'On or near Drury Lane'}, 'longitude': '-0.120101'}",,,,107817635,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.513777', 'street': {'id': 1679100, 'name': 'On or near B402'}, 'longitude': '-0.123456'}",,,,107822699,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518744', 'street': {'id': 1679854, 'name': 'On or near Dane Street'}, 'longitude': '-0.118596'}",,,,107827546,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510623', 'street': {'id': 1678627, 'name': ""On or near St Martin's Lane""}, 'longitude': '-0.126987'}",,,,107827169,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.498553', 'street': {'id': 1677378, 'name': 'On or near Caxton Street'}, 'longitude': '-0.135291'}",,,,107818643,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.506985', 'street': {'id': 1678839, 'name': 'On or near Northumberland Avenue'}, 'longitude': '-0.124975'}",,,,107827024,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.503685', 'street': {'id': 1679036, 'name': 'On or near '}, 'longitude': '-0.119346'}",,,,107827021,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515470', 'street': {'id': 1677386, 'name': 'On or near Hollen Street'}, 'longitude': '-0.134874'}",,,,107826620,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518405', 'street': {'id': 1679695, 'name': 'On or near Procter Street'}, 'longitude': '-0.119302'}",,,,107826523,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.517727', 'street': {'id': 1678383, 'name': 'On or near '}, 'longitude': '-0.128612'}",,,,107826471,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.494214', 'street': {'id': 1677759, 'name': 'On or near Rutherford Street'}, 'longitude': '-0.132716'}",,,,107826444,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511022', 'street': {'id': 1679585, 'name': 'On or near Strand'}, 'longitude': '-0.119880'}",,,,107826386,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.519792', 'street': {'id': 1679812, 'name': 'On or near '}, 'longitude': '-0.118337'}",,,,107825894,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.503044', 'street': {'id': 1681631, 'name': 'On or near The Cut'}, 'longitude': '-0.107428'}",,,,107825805,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.514408', 'street': {'id': 1678779, 'name': 'On or near Neal Street'}, 'longitude': '-0.125780'}",,,,107823093,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.514202', 'street': {'id': 1490748, 'name': 'On or near Fleet Street'}, 'longitude': '-0.108450'}",,,,107861650,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515041', 'street': {'id': 1490756, 'name': 'On or near Gough Square'}, 'longitude': '-0.108069'}",,,,107861273,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516395', 'street': {'id': 1678879, 'name': 'On or near '}, 'longitude': '-0.125165'}",,,,107825559,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512095', 'street': {'id': 1679550, 'name': 'On or near Tavistock Street'}, 'longitude': '-0.120571'}",,,,107825517,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510513', 'street': {'id': 1678829, 'name': 'On or near Bedford Court'}, 'longitude': '-0.125161'}",,,,107825297,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.500253', 'street': {'id': 1678686, 'name': 'On or near St Margaret Street'}, 'longitude': '-0.126317'}",,,,107822052,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511623', 'street': {'id': 1678738, 'name': 'On or near Rose Street'}, 'longitude': '-0.125951'}",,,,107823126,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515430', 'street': {'id': 1679223, 'name': 'On or near '}, 'longitude': '-0.122797'}",,,,107816222,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.514012', 'street': {'id': 1677997, 'name': 'On or near '}, 'longitude': '-0.131078'}",,,,107815315,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.499488', 'street': {'id': 1679222, 'name': 'On or near '}, 'longitude': '-0.118410'}",,,,107814776,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512059', 'street': {'id': 1679743, 'name': 'On or near A301'}, 'longitude': '-0.118929'}",,,,107814280,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516623', 'street': {'id': 1677604, 'name': 'On or near '}, 'longitude': '-0.132976'}",,,,107822755,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516927', 'street': {'id': 1676974, 'name': 'On or near Marylebone Passage'}, 'longitude': '-0.137711'}",,,,107819127,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511623', 'street': {'id': 1678738, 'name': 'On or near Rose Street'}, 'longitude': '-0.125951'}",,,,107818683,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.501162', 'street': {'id': 1680084, 'name': 'On or near Addington Street'}, 'longitude': '-0.116252'}",,,,107818021,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511856', 'street': {'id': 1678534, 'name': 'On or near Great Newport Street'}, 'longitude': '-0.127570'}",,,,107822646,,2023-01
